"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\eat20\OneDrive\Desktop\15112\Term-Project\chef.py", "Python", 1, 0, 1, 2
"c:\Users\eat20\OneDrive\Desktop\15112\Term-Project\ingredient.py", "Python", 1, 0, 0, 1
"c:\Users\eat20\OneDrive\Desktop\15112\Term-Project\main.py", "Python", -2, 0, 0, -2
"Total", "-", 0, 0, 1, 1
