"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\eat20\OneDrive\Desktop\15112\Term-Project\box.py", "Python", 12, 13, 7, 32
"c:\Users\eat20\OneDrive\Desktop\15112\Term-Project\chef.py", "Python", 22, 5, 6, 33
"c:\Users\eat20\OneDrive\Desktop\15112\Term-Project\cmu_112_graphics.py", "Python", 517, 158, 94, 769
"c:\Users\eat20\OneDrive\Desktop\15112\Term-Project\cs112_f22_week10_linter.py", "Python", 111, 145, 17, 273
"c:\Users\eat20\OneDrive\Desktop\15112\Term-Project\ingredient.py", "Python", 97, 5, 21, 123
"c:\Users\eat20\OneDrive\Desktop\15112\Term-Project\main.py", "Python", 162, 47, 17, 226
"Total", "-", 921, 373, 162, 1456
