"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\eat20\OneDrive\Desktop\15112\Term-Project\box.py", "Python", 12, 13, 7, 32
"c:\Users\eat20\OneDrive\Desktop\15112\Term-Project\chef.py", "Python", 22, 5, 6, 33
"c:\Users\eat20\OneDrive\Desktop\15112\Term-Project\cmu_112_graphics.py", "Python", 517, 158, 94, 769
"c:\Users\eat20\OneDrive\Desktop\15112\Term-Project\cs112_f22_week10_linter.py", "Python", 111, 145, 17, 273
"c:\Users\eat20\OneDrive\Desktop\15112\Term-Project\ingredient.py", "Python", 103, 5, 21, 129
"c:\Users\eat20\OneDrive\Desktop\15112\Term-Project\main.py", "Python", 185, 49, 17, 251
"Total", "-", 950, 375, 162, 1487
